0.060829000001831446, 289110, 542981, 21458
0.10952700000052573, 289111, 542976, 21454
0.20685999999841442, 289113, 542975, 21451
0.268833000001905, 289114, 542981, 21447
0.31892599999991944, 289113, 542986, 21449
0.511899999997695, 289117, 543005, 21431
0.5450239999991027, 289120, 543001, 21428
0.595551999998861, 289122, 543006, 21426
0.6403759999957401, 289122, 543012, 21424
0.7017899999991641, 289123, 543020, 21416
0.7678049999958603, 289124, 543023, 21416
0.8559479999967152, 289126, 543021, 21414
0.900513000000501, 289128, 543025, 21413
0.9432240000023739, 289129, 543028, 21412
1.0057059999962803, 289130, 543031, 21415
1.0540509999991627, 289131, 543036, 21407
1.118001999995613, 289131, 543033, 21406
1.1833960000003572, 289130, 543030, 21405
1.2459689999959664, 289129, 543032, 21402
1.4712859999999637, 289131, 543038, 21404
1.5019029999966733, 289131, 543033, 21405
1.5509230000025127, 289132, 543035, 21399
1.6142719999988913, 289133, 543039, 21404
1.6779139999998733, 289131, 543033, 21403
1.7419020000015735, 289132, 543031, 21404
1.7904280000002473, 289133, 543034, 21401
1.8541750000003958, 289134, 543037, 21407
1.918149999997695, 289136, 543041, 21405
1.9666510000024573, 289137, 543040, 21404
2.030466999996861, 289137, 543037, 21403
2.0943179999958375, 289136, 543040, 21401
2.142720999996527, 289136, 543042, 21402
2.206773999998404, 289138, 543043, 21400
2.2703419999961625, 289138, 543048, 21396
2.4787339999966207, 289137, 543048, 21390
2.5108780000009574, 289135, 543052, 21381
2.5588110000026063, 289135, 543056, 21385
2.623085999999603, 289137, 543062, 21382
2.686443999999028, 289138, 543057, 21382
2.7350700000024517, 289140, 543059, 21380
2.798888999997871, 289140, 543064, 21377
2.862764999998035, 289141, 543068, 21368
2.9112400000012713, 289142, 543077, 21373
2.9749599999995553, 289143, 543075, 21372
3.0388789999997243, 289144, 543073, 21369
3.1027570000005653, 289144, 543077, 21368
3.1512670000010985, 289144, 543081, 21364
3.2154289999962202, 289143, 543082, 21368
3.2818090000000666, 289145, 543085, 21357
3.487280000001192, 289150, 543085, 21347
3.5192620000016177, 289149, 543090, 21338
3.567570999999589, 289150, 543096, 21337
3.6310210000010557, 289150, 543098, 21336
3.679579999996349, 289149, 543095, 21333
3.743618000000424, 289149, 543096, 21330
3.8075949999984005, 289149, 543100, 21327
3.8711140000013984, 289148, 543103, 21318
3.9202640000003157, 289150, 543108, 21321
3.9835689999963506, 289152, 543104, 21320
4.0472329999975045, 289151, 543102, 21318
4.095851999998558, 289151, 543105, 21318
4.16157199999725, 289149, 543108, 21315
4.223597999996855, 289149, 543114, 21314
4.272056000001612, 289151, 543115, 21314
4.495605999996769, 289150, 543118, 21311
4.527764999998908, 289149, 543121, 21312
4.575747999995656, 289149, 543125, 21310
4.624532000001636, 289150, 543123, 21311
4.688595999999961, 289149, 543119, 21311
4.752076999997371, 289149, 543123, 21310
4.800165000000561, 289149, 543125, 21311
4.868953999997757, 289152, 543128, 21313
4.928154000001086, 289151, 543128, 21308
4.992107999998552, 289152, 543122, 21309
5.040980999998283, 289152, 543117, 21309
5.104763999996067, 289154, 543118, 21311
5.16834899999958, 289156, 543120, 21311
5.223117000001366, 289158, 543126, 21311
5.283840999996755, 289157, 543123, 21310
5.4983050000009825, 289155, 543127, 21312
5.53617099999974, 289155, 543129, 21310
5.570289999996021, 289156, 543131, 21314
5.640223000002152, 289157, 543124, 21316
5.6977659999975, 289158, 543120, 21317
5.763039999998, 289158, 543121, 21318
5.8085379999974975, 289158, 543123, 21324
5.873961999997846, 289157, 543125, 21320
5.938592999998946, 289157, 543128, 21322
6.000723999997717, 289158, 543123, 21323
6.050879000002169, 289160, 543122, 21324
6.12806499999715, 289158, 543125, 21329
6.179886999998416, 289157, 543125, 21322
6.2297380000018165, 289158, 543127, 21328
6.290692000002309, 289159, 543123, 21330
6.5205409999980475, 289156, 543123, 21333
6.5356899999969755, 289155, 543125, 21331
6.595460999997158, 289156, 543126, 21336
6.655655000002298, 289156, 543121, 21337
6.706365999998525, 289156, 543118, 21338
6.758146000000124, 289155, 543122, 21341
6.819997999999032, 289155, 543124, 21339
6.892362999999023, 289156, 543126, 21343
6.945436000001791, 289157, 543125, 21344
7.001323999997112, 289156, 543122, 21344
7.0650190000014845, 289157, 543125, 21345
7.123905000000377, 289156, 543126, 21348
7.185172999998031, 289155, 543127, 21345
7.233509999998205, 289154, 543130, 21350
7.29832599999645, 289156, 543124, 21351
7.514772000002267, 289156, 543127, 21350
7.546341000001121, 289156, 543127, 21350
7.5922930000015185, 289158, 543130, 21350
7.6567040000009, 289159, 543124, 21349
7.713402000001224, 289156, 543124, 21348
7.78146199999901, 289156, 543128, 21346
7.835329000001366, 289156, 543132, 21355
7.891430999996373, 289156, 543139, 21340
7.940389999996114, 289158, 543135, 21337
8.004033999997773, 289160, 543133, 21335
8.065878000001248, 289162, 543139, 21331
8.13134899999568, 289161, 543144, 21327
8.187620999997307, 289165, 543149, 21324
8.244235999998637, 289165, 543153, 21320
8.486660999995365, 289168, 543161, 21308
8.504734000001918, 289168, 543160, 21305
8.563929999996617, 289170, 543160, 21301
8.617727999997442, 289171, 543164, 21298
8.681064999997034, 289172, 543168, 21298
8.75825099999929, 289174, 543176, 21289
8.79695399999764, 289176, 543178, 21284
8.8524649999963, 289175, 543175, 21282
8.918894000002183, 289174, 543175, 21280
8.984048999998777, 289174, 543179, 21276
9.032578999998805, 289174, 543183, 21273
9.127061999999569, 289174, 543191, 21269
9.155615999996371, 289174, 543189, 21267
9.211193999995885, 289174, 543186, 21265
