iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589458000,2021,4,3,19,44,0,1,1,1,0,31,-362715,3D-Fix,-78.06502259999999,38.397988399999996,89.31,123.772,4.142,5.07,-0.006,-0.021,-0.013000000000000001,0.022,349.57352000000003,
589459000,2021,4,3,19,44,1,1,1,1,0,31,-362711,3D-Fix,-78.0650221,38.3979888,89.395,123.857,4.159,5.08,0.044,0.008,-0.083,0.044,349.57352000000003,
589460000,2021,4,3,19,44,2,1,1,1,0,31,-362706,3D-Fix,-78.0650218,38.3979887,89.321,123.783,4.18,5.088,-0.006,0.019,-0.063,0.019,349.57352000000003,
589461000,2021,4,3,19,44,3,1,1,1,0,31,-362702,3D-Fix,-78.06502119999999,38.3979888,89.386,123.848,4.196,5.096,0.001,0.02,-0.011,0.02,349.57352000000003,
589462000,2021,4,3,19,44,4,1,1,1,0,31,-362698,3D-Fix,-78.0650206,38.397988999999995,89.46000000000001,123.922,4.215,5.11,0.035,-0.012,0.004,0.037,349.57352000000003,
589463000,2021,4,3,19,44,5,1,1,1,0,31,-362694,3D-Fix,-78.06502019999999,38.3979891,89.471,123.933,4.233,5.121,0.001,0.022,-0.035,0.022,349.57352000000003,
589464000,2021,4,3,19,44,6,1,1,1,0,31,-362689,3D-Fix,-78.06501999999999,38.3979892,89.429,123.891,4.251,5.133,0.032,0.028,-0.074,0.043000000000000003,349.57352000000003,
589465000,2021,4,3,19,44,7,1,1,1,0,31,-362684,3D-Fix,-78.0650196,38.397989599999995,89.461,123.923,4.269,5.146,0.033,0.039,-0.095,0.051000000000000004,349.57352000000003,
589466000,2021,4,3,19,44,8,1,1,1,0,31,-362679,3D-Fix,-78.0650204,38.39799,89.46000000000001,123.922,4.285,5.158,0.012,-0.07,-0.009000000000000001,0.07100000000000001,349.57352000000003,
589467000,2021,4,3,19,44,9,1,1,1,0,31,-362675,3D-Fix,-78.065021,38.3979904,89.46600000000001,123.929,4.307,5.175,0.008,-0.049,0.056,0.05,349.57352000000003,
589468000,2021,4,3,19,44,10,1,1,1,0,31,-362671,3D-Fix,-78.0650206,38.3979905,89.486,123.94800000000001,4.328,5.182,-0.039,0.032,0.031,0.05,349.57352000000003,
589469000,2021,4,3,19,44,11,1,1,1,0,31,-362666,3D-Fix,-78.065021,38.3979907,89.462,123.924,4.3420000000000005,5.19,0.026000000000000002,-0.054,0.009000000000000001,0.06,349.57352000000003,
589470000,2021,4,3,19,44,12,1,1,1,0,31,-362661,3D-Fix,-78.06502139999999,38.397990799999995,89.372,123.834,4.358,5.205,-0.007,0.024,-0.005,0.025,349.57352000000003,
589471000,2021,4,3,19,44,13,1,1,1,0,31,-362657,3D-Fix,-78.06502189999999,38.397990899999996,89.315,123.777,4.374,5.215,-0.006,-0.022,0.025,0.023,349.57352000000003,
589472000,2021,4,3,19,44,14,1,1,1,0,31,-362652,3D-Fix,-78.0650223,38.3979913,89.33,123.792,4.386,5.222,0.031,-0.049,0.069,0.058,349.57352000000003,
589473000,2021,4,3,19,44,15,1,1,1,0,31,-362648,3D-Fix,-78.0650233,38.397991399999995,89.249,123.711,4.399,5.23,-0.016,-0.092,0.127,0.093,349.57352000000003,
589474000,2021,4,3,19,44,16,1,1,1,0,31,-362643,3D-Fix,-78.0650237,38.3979916,89.242,123.70400000000001,4.412,5.239,0.04,-0.042,0.02,0.058,349.57352000000003,
589475000,2021,4,3,19,44,17,1,1,1,0,31,-362639,3D-Fix,-78.0650235,38.3979918,89.269,123.73100000000001,4.426,5.246,0.011,0.015,-0.009000000000000001,0.018000000000000002,349.57352000000003,
589476000,2021,4,3,19,44,18,1,1,1,0,31,-362634,3D-Fix,-78.0650237,38.3979918,89.23400000000001,123.696,4.438,5.2540000000000004,-0.029,0.003,0.01,0.029,349.57352000000003,
589477000,2021,4,3,19,44,19,1,1,1,0,31,-362629,3D-Fix,-78.0650264,38.3979919,89.10300000000001,123.565,4.477,5.29,0.005,-0.22,-0.068,0.22,349.57352000000003,
589478000,2021,4,3,19,44,20,1,1,1,0,32,-362623,3D-Fix,-78.0650543,38.397976899999996,89.807,124.269,4.928,5.454,-2.346,-3.329,-0.608,4.073,253.24636,
589479000,2021,4,3,19,44,21,1,1,1,0,32,-362617,3D-Fix,-78.06510279999999,38.397937299999995,90.749,125.211,6.393,5.714,-4.587,-4.366,-0.841,6.333,238.216,
589480000,2021,4,3,19,44,22,1,1,1,0,33,-362611,3D-Fix,-78.065112,38.397909899999995,92.144,126.60600000000001,9.15,6.0760000000000005,-3.269,-1.788,-1.083,3.726,238.216,
589481000,2021,4,3,19,44,23,1,1,1,0,33,-362600,3D-Fix,-78.0650931,38.397899599999995,90.365,124.827,12.985,5.782,-2.066,0.51,-0.22,2.128,238.216,
589482000,2021,4,3,19,44,24,1,1,1,0,34,-362592,3D-Fix,-78.0650872,38.397881,90.58500000000001,125.047,18.196,5.906,-2.066,0.51,-0.22,2.128,238.216,
589483000,2021,4,3,19,44,25,1,1,1,0,35,-362585,3D-Fix,-78.0650814,38.3978624,90.805,125.268,24.452,6.096,-2.066,0.51,-0.22,2.128,238.216,
589484000,2021,4,3,19,44,26,1,1,1,0,37,-362578,3D-Fix,-78.06501829999999,38.3978569,90.96600000000001,125.428,28.611,6.377,-1.461,2.248,-0.186,2.681,238.216,
589485000,2021,4,3,19,44,27,1,1,1,0,38,-362571,3D-Fix,-78.0649926,38.397843699999996,91.152,125.614,35.225,6.774,-1.461,2.248,-0.186,2.681,238.216,
