iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589567000,2021,4,3,19,45,49,1,1,1,0,44,-362132,3D-Fix,-78.0591058,38.397833399999996,188.577,223.042,8.971,19.682000000000002,5.376,3.516,2.974,6.424,31.34006,
589568000,2021,4,3,19,45,50,1,1,1,0,44,-362163,3D-Fix,-78.0590785,38.3978949,198.06,232.524,9.231,19.54,5.4910000000000005,2.512,3.003,6.039,27.665670000000002,
589569000,2021,4,3,19,45,51,1,1,1,0,43,-362182,3D-Fix,-78.0590497,38.3979387,197.552,232.017,8.994,18.729,5.202,2.107,3.108,5.612,24.96714,
589570000,2021,4,3,19,45,52,1,1,1,0,42,-362187,3D-Fix,-78.0590521,38.3979751,191.006,225.47,8.603,17.783,4.418,-0.082,3.366,4.4190000000000005,11.19447,
589571000,2021,4,3,19,45,53,1,1,1,0,41,-362198,3D-Fix,-78.0590387,38.3980082,186.595,221.059,7.976,16.645,3.728,0.746,3.4330000000000003,3.802,11.274120000000002,
589572000,2021,4,3,19,45,54,1,1,1,0,40,-362204,3D-Fix,-78.0590216,38.3980317,178.81900000000002,213.284,7.418,15.610000000000001,2.689,1.674,3.601,3.1670000000000003,20.44538,
589573000,2021,4,3,19,45,55,1,1,1,0,39,-362223,3D-Fix,-78.0590041,38.398072,178.578,213.043,7.3180000000000005,15.134,4.416,2.475,3.673,5.062,26.8182,
589574000,2021,4,3,19,45,56,1,1,1,0,39,-362235,3D-Fix,-78.0589881,38.3981318,171.1,205.564,7.239,14.732000000000001,6.708,1.937,3.9250000000000003,6.982,16.10715,
589575000,2021,4,3,19,45,57,1,1,1,0,39,-362248,3D-Fix,-78.058978,38.398181099999995,165.311,199.775,7.261,14.409,6.133,1.331,4.158,6.275,13.969410000000002,
589576000,2021,4,3,19,45,58,1,1,1,0,38,-362264,3D-Fix,-78.0589708,38.3982107,162.549,197.013,7.196,13.877,4.335,0.764,4.364,4.402,12.02804,
589577000,2021,4,3,19,45,59,1,1,1,0,38,-362274,3D-Fix,-78.058954,38.398237699999996,154.862,189.327,7.172,13.762,3.892,1.32,4.543,4.11,15.960860000000002,
589578000,2021,4,3,19,46,0,1,1,1,0,38,-362276,3D-Fix,-78.05893979999999,38.398252,143.32,177.784,7.128,13.429,3.198,1.2510000000000001,4.931,3.434,18.440420000000003,
589579000,2021,4,3,19,46,1,1,1,1,0,38,-362288,3D-Fix,-78.0589198,38.3982676,136.4,170.864,7.09,13.217,2.443,1.603,5.11,2.922,24.370510000000003,
589580000,2021,4,3,19,46,2,1,1,1,0,38,-362296,3D-Fix,-78.05889499999999,38.3982692,124.888,159.352,7.0680000000000005,13.081,1.5070000000000001,2.08,5.417,2.569,35.53313,
589581000,2021,4,3,19,46,3,1,1,1,0,38,-362309,3D-Fix,-78.0588688,38.398277799999995,116.193,150.657,7.09,12.967,1.584,2.207,5.6000000000000005,2.717,44.540960000000005,
589582000,2021,4,3,19,46,4,1,1,1,0,38,-362323,3D-Fix,-78.05883709999999,38.3982829,109.799,144.264,7.0760000000000005,12.714,0.97,2.7,5.73,2.869,60.624,
589583000,2021,4,3,19,46,5,1,1,1,0,38,-362336,3D-Fix,-78.0588156,38.3982786,101.785,136.249,7.0520000000000005,12.434000000000001,0.095,2.2,5.9190000000000005,2.202,71.52785,
589584000,2021,4,3,19,46,6,1,1,1,0,37,-362350,3D-Fix,-78.05879379999999,38.3982838,93.766,128.231,7.0200000000000005,12.204,0.456,2.103,6.07,2.152,74.80646,
589585000,2021,4,3,19,46,7,1,1,1,0,37,-362367,3D-Fix,-78.058779,38.3982768,85.059,119.523,7.013,12.176,-0.32,1.499,6.18,1.5330000000000001,84.41972000000001,
589586000,2021,4,3,19,46,8,1,1,1,0,37,-362372,3D-Fix,-78.0587737,38.3982561,76.389,110.85300000000001,7.019,12.166,-1.596,0.577,6.2780000000000005,1.697,127.08532000000001,
